license_id,brand_name,original_ingredient,normalized_ingredient,synonyms,drugbank_id,mapped
195500005,중외5%포도당생리식염액(수출명:5%DextroseinnormalsalineInj.),GLUCOSE,GLUCOSE,,DB01914,True
195500006,중외5%포도당주사액,GLUCOSE,GLUCOSE,,DB01914,True
195600004,중외20%포도당주사액,GLUCOSE,GLUCOSE,,DB01914,True
195600006,중외50%포도당주사액,GLUCOSE,GLUCOSE,,DB01914,True
195700004,대한포도당주사액(10%),GLUCOSE,GLUCOSE,,DB01914,True
195700007,대한멸균증류수(주사용수),WATER FOR INJECTION,WATER FOR INJECTION,,,False
195700008,대한포도당주사액(20%),GLUCOSE,GLUCOSE,,DB01914,True
195700009,대한멸균생리식염수(생리식염주사액),SODIUM CHLORIDE,SODIUM CHLORIDE,,DB09153,True
195700010,대한포도당주사액(5%),GLUCOSE,GLUCOSE,,DB01914,True
195700013,제일에페드린염산염주사액4%,EPHEDRINE HYDROCHLORIDE,EPHEDRINE HYDROCHLORIDE,,DB01364,True
195700014,제일포도당주사액,GLUCOSE,GLUCOSE,,DB01914,True
195700015,안나카주사액20%(제일벤조산나트륨카페인주)(수출용),CAFFEINE·SODIUM BENZOATE,CAFFEINE·SODIUM BENZOATE,,DB00201,True
195700016,안나카주사액10%(제일벤조산나트륨카페인주)(수출용),CAFFEINE·SODIUM BENZOATE,CAFFEINE·SODIUM BENZOATE,,DB00201,True
195700020,활명수,GAMBIR,GAMBIR,,,False
195800018,대원염산에페드린주사액[수출명:에린주사(에페드린염산염)(ErineInj.)],EPHEDRINE HYDROCHLORIDE,EPHEDRINE HYDROCHLORIDE,,DB01364,True
195800020,마구내신주사액<황산마그네슘수화물>,MAGNESIUM SULFATE HYDRATE,MAGNESIUM SULFATE HYDRATE,,DB00653,True
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,SALICYLIC ACID,,DB00936,True
195900043,아네모정,DRIED ALUMINIUM HYDROXIDE GEL,DRIED ALUMINIUM HYDROXIDE GEL,,DB06723,True
195900045,자모,EPHEDRA HERB,EPHEDRA HERB,,DB01364,True
196000001,테라싸이클린캅셀250밀리그람(염산테트라싸이클린),TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,,DB00759,True
196000008,다이크로짇정(히드로클로로티아지드),HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,,DB00999,True
