license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,tenosynovitis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,rheumatoid arthritis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,palmoplantar keratoderma,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,tinea pedis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,tinea corporis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,keratinization disease,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,nasopharyngitis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,vasomotor rhinitis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,synovitis (disease),TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,pityriasis simplex,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,tinea infection,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,acne (disease),TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,allergic rhinitis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,acquired keratosis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,common cold,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,osteoarthritis susceptibility,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,osteoarthritis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,seborrheic keratosis,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,arthropathy,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,plantar wart,TxGNN Knowledge Graph
195900034,신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),SALICYLIC ACID,DB00936,seborrheic dermatitis,TxGNN Knowledge Graph
196000008,다이크로짇정(히드로클로로티아지드),HYDROCHLOROTHIAZIDE,DB00999,hypertension,TxGNN Knowledge Graph
196000008,다이크로짇정(히드로클로로티아지드),HYDROCHLOROTHIAZIDE,DB00999,hypertensive disorder,TxGNN Knowledge Graph
196000008,다이크로짇정(히드로클로로티아지드),HYDROCHLOROTHIAZIDE,DB00999,congestive heart failure,TxGNN Knowledge Graph
196200032,유한짓정100mg(이소니아지드)(군납명:이소니아지드정케이.피100밀리그람),ISONIAZID,DB00951,pulmonary tuberculosis,TxGNN Knowledge Graph
196300001,디고신정(디곡신),DIGOXIN,DB00390,digitalis poisoning,TxGNN Knowledge Graph
196300001,디고신정(디곡신),DIGOXIN,DB00390,atrial fibrillation (disease),TxGNN Knowledge Graph
196300025,옥시톤주사액5아이유(옥시토신),OXYTOCIN,DB00107,pregnancy disorder with abortive outcome,TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,"classic Hodgkin lymphoma, lymphocyte-rich type",TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,tenosynovitis,TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,rheumatoid arthritis,TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,non-Hodgkin lymphoma,TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,"leukemia, lymphocytic, susceptibility to",TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,Hodgkin's paragranuloma,TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,atopic eczema,TxGNN Knowledge Graph
196300064,부광덱사메타손정,DEXAMETHASONE,DB01234,autoimmune thrombocytopenic,TxGNN Knowledge Graph
